@relation HouseData

@attribute location numeric
@attribute size numeric
@attribute houseDirection numeric
@attribute balconyDirection numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute investor numeric
@attribute price numeric

@data
1,68,7,7,2,2,1,3.8
2,72,8,8,2,2,2,4.3
3,61,6,2,2,2,2,2.8
3,82,4,8,3,2,2,3.6
1,52,6,8,2,2,1,2.79
1,80,8,8,3,2,1,4.7
4,55,2,6,2,1,2,2.45
3,104,8,9,3,2,3,3.4
1,90,6,8,3,2,1,4.5
1,81.5,9,9,3,2,1,4.75
5,112.800003,6,2,3,2,1,4.29
6,73.599998,4,8,3,2,1,3.4
7,85,2,8,2,2,1,3.9
8,89,4,8,3,2,1,3.75
9,82,7,3,2,2,1,4.5
10,86,4,8,3,2,1,3
11,59,9,8,2,2,1,2.35
7,76,9,9,3,3,1,3.6
12,67.540001,4,8,2,2,1,1.52
7,76,8,4,2,2,1,3.8
13,141,9,9,4,2,1,4.46
14,110,3,3,3,2,4,5.8
15,100,6,7,2,2,5,6.1
16,85,2,3,2,2,6,4.2
17,120,7,7,3,2,7,8.3
18,95,3,3,2,2,4,4.9
19,110,8,7,3,2,8,5.7
20,130,3,3,3,2,4,6.5
21,75,2,3,2,2,9,4.1
22,85,7,7,2,2,10,4.9
23,100,4,3,3,2,11,5.2
24,125,8,7,3,2,4,6.8
25,95,6,7,2,2,12,5.3
26,120,3,3,3,2,13,7.5
27,105,2,3,2,2,14,5.1
28,80,8,7,2,2,8,4.2
29,135,7,7,3,2,15,8.6
30,110,3,3,3,2,10,6.2
31,95,2,3,2,2,16,4.8
32,100,6,7,3,2,4,5.5
32,95,3,7,2,2,4,5.2
33,120,8,2,3,2,10,7.8
34,85,3,7,2,2,17,4.3
35,110,7,3,3,2,4,6.5
23,75,4,8,2,2,11,3.9
29,130,8,4,3,2,15,8.2
22,90,3,7,2,2,10,5.6
36,105,2,6,3,2,16,5.1
28,80,8,3,2,2,8,4.2
24,125,6,2,3,2,4,6.9
18,100,7,3,3,2,4,5.2
37,95,3,7,2,2,18,4.6
38,88,2,6,2,2,15,4.7
39,135,7,3,3,2,19,8.5
35,80,8,3,2,2,4,4.8
17,115,3,7,3,2,7,7.2
14,88,3,7,2,2,4,5.1
31,70,4,8,2,2,16,3.6
27,100,2,7,3,2,14,5.3
30,120,7,3,3,2,10,6.8
19,105,8,7,3,2,8,5.5
20,95,3,7,2,2,4,5.1
22,88,3,7,2,2,10,5.4
36,90,7,3,2,2,16,4.9
18,105,8,3,3,2,4,5.8
29,120,7,3,3,2,15,7.3
24,130,7,3,3,2,4,6.5
37,85,3,7,2,2,18,4.2
38,78,2,6,2,2,15,4.3
39,128,8,3,3,2,19,8.2
35,95,7,3,2,2,4,5.6
17,112,3,7,3,2,7,7.1
14,92,3,7,2,2,4,5.4
31,75,8,4,2,2,16,3.9
27,98,2,7,3,2,14,5.1
30,118,7,3,3,2,10,6.6
28,85,8,3,2,2,8,4.4
20,102,3,7,3,2,4,5.9
40,88,7,3,2,2,16,4.7
18,95,8,3,2,2,4,5.2
22,92,3,7,2,2,10,5.7
19,100,8,7,3,2,8,5.2
20,110,3,7,3,2,4,6.3
34,78,3,7,2,2,17,4.1
35,130,7,3,3,2,4,7.5
23,85,4,8,2,2,11,4.2
29,125,7,3,3,2,15,7.8
24,135,7,3,3,2,4,6.7
37,92,3,7,2,2,18,4.5
38,82,2,6,2,2,15,4.5
39,140,8,3,3,2,19,8.8
35,88,7,3,2,2,4,5.3
17,115,3,7,3,2,7,7.3
14,95,3,7,2,2,4,5.6
31,78,8,4,2,2,16,4.1
27,105,2,7,3,2,14,5.5
30,125,7,3,3,2,10,6.9
28,90,8,3,2,2,8,4.6
20,98,3,7,3,2,4,6.1
40,92,7,3,2,2,16,4.8
5,113,9,9,3,2,1,5.5
13,129,9,9,3,2,1,4
5,96,2,8,3,3,1,4.18
5,72,6,10,2,2,1,2.66
41,146,9,8,3,2,20,3.3
42,116,9,8,3,2,1,3.45
43,97,11,12,3,2,1,4
44,92,13,14,2,1,21,3.2
45,77,15,16,2,2,22,1.69
45,70,9,9,2,2,22,1.02
46,105,9,9,3,2,23,2.45
47,104,14,17,3,2,24,2.5
48,110,3,3,3,2,4,5.1
49,95,6,7,3,2,6,4.6
50,80,2,3,2,2,25,3.2
29,120,8,7,3,2,15,6.2
51,130,3,3,3,2,26,7.8
52,85,7,3,2,2,27,4.2
35,100,3,7,3,2,27,5.8
53,75,6,2,2,2,27,4.1
54,92,8,3,3,2,27,5.3
55,110,7,3,3,2,28,6.2
56,120,8,4,3,2,27,7.5
85,100,7,7,3,2,8,5.1
86,125,8,7,3,2,4,6.7
87,80,6,7,2,2,35,3.8
73,95,2,3,3,2,35,4.5
88,135,3,3,4,3,40,7.2
89,160,8,7,4,3,12,8.9
90,70,6,7,2,2,4,3.1
91,115,2,3,3,2,4,6.1
92,100,7,7,3,2,25,5.2
93,145,3,3,4,3,6,7.8
94,95,8,7,3,2,35,5.1
95,110,3,3,3,2,32,5.7
96,85,6,7,2,2,4,4.2
97,100,4,3,3,2,33,4.5
98,120,7,7,3,2,34,5.8
99,90,3,3,2,2,3,4.1
100,130,8,7,3,2,41,6.3
101,88,6,7,2,2,2,4.3
102,135,8,7,4,3,42,7.5
103,70,3,3,2,2,32,3.2
104,100,6,7,3,2,15,5.1
105,95,7,7,3,2,27,5.2
106,140,2,3,4,3,36,7.2
107,75,6,7,2,2,43,3.5
108,125,2,3,3,2,44,6.7
109,95,7,7,3,2,45,4.8
110,105,3,3,3,2,46,5.3
111,78.089996,4,8,2,2,2,6.5
111,55,9,9,1,1,2,4.9
112,124,9,9,4,4,47,11.99
112,57,2,6,1,1,47,4.4
113,198.5,6,2,4,2,48,8.45
111,50,8,4,1,1,2,5.5
114,50,9,9,2,1,1,1.55
112,57.099998,6,2,1,1,47,4.44
115,125,4,8,3,3,49,8.3
111,120,9,9,3,2,2,13.2
111,80,9,9,2,2,2,7.25
116,96,9,9,3,2,50,6.5
117,109,5,1,3,2,51,7.8
118,123,9,2,3,2,52,4.4
117,83,5,1,2,2,51,5.6
118,145,6,2,3,2,52,5.8
119,94.919998,9,8,2,2,53,8.85
120,94,1,2,3,2,54,4.15
121,95.599998,9,9,2,2,55,8.3
118,123,9,9,2,2,52,5.1
118,114,6,14,3,2,52,6
120,80,9,9,2,2,54,3.8
25,101,5,7,3,2,56,7
122,100,8,7,2,2,35,5
123,105,2,3,3,2,32,5.3
124,85,6,7,2,2,4,4.3
125,95,4,3,3,2,33,4.5
126,110,7,7,3,2,34,5.5
127,100,3,3,3,2,4,4.8
128,125,8,7,3,2,41,6.3
129,110,6,7,3,2,8,5.3
130,140,2,3,3,2,36,6.7
131,95,7,7,2,2,4,4.6
132,115,8,7,3,2,57,6.1
133,85,6,7,2,2,43,4.1
134,120,2,3,3,2,44,6.1
135,100,7,7,3,2,45,5.1
136,105,3,3,3,2,46,5.3
137,85,6,7,2,2,4,4.2
138,130,8,7,3,2,42,7
139,70,3,3,2,2,32,3.2
140,105,6,7,3,2,15,5
141,100,7,7,3,2,27,5.1
122,95,2,3,2,2,35,4.8
123,120,2,3,3,2,32,6
124,75,6,7,2,2,4,4
125,90,4,3,2,2,33,4
126,130,7,7,3,2,34,5.5
24,85,8,7,2,2,4,3.5
142,110,3,3,3,2,10,4.8
25,95,6,7,2,2,12,4.2
143,80,7,7,2,2,18,2.8
28,100,3,3,3,2,5,3.9
35,120,8,7,3,2,4,5.6
