@relation HouseData

@attribute location numeric
@attribute size numeric
@attribute houseDirection numeric
@attribute balconyDirection numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute investor numeric
@attribute price numeric

@data
1,68,1,2,2,2,1,3.8
2,72,3,4,2,2,2,4.3
3,61,5,6,2,2,2,2.8
3,82,7,3,3,2,2,3.6
1,52,5,3,2,2,1,2.79
1,80,3,3,3,2,1,4.7
4,55,6,5,2,1,2,2.45
3,104,3,8,3,2,2,3.4
1,90,5,3,3,2,1,4.5
1,81.5,8,8,3,2,1,4.75
5,112.800003,5,6,3,2,1,4.29
6,73.599998,7,3,3,2,1,3.4
7,85,6,3,2,2,1,3.9
8,89,7,3,3,2,1,3.75
9,82,1,9,2,2,1,4.5
10,86,7,3,3,2,1,3
11,59,8,3,2,2,1,2.35
7,76,8,8,3,3,1,3.6
12,67.540001,7,3,2,2,1,1.52
7,76,3,7,2,2,1,3.8
13,141,8,8,4,2,1,4.46
14,110,9,9,3,2,3,5.8
15,100,5,1,2,2,4,6.1
16,85,6,9,2,2,5,4.2
17,120,1,1,3,2,6,8.3
18,95,9,9,2,2,3,4.9
19,110,3,1,3,2,7,5.7
20,130,9,9,3,2,3,6.5
21,75,6,9,2,2,8,4.1
22,85,1,1,2,2,9,4.9
23,100,7,9,3,2,10,5.2
24,125,3,1,3,2,3,6.8
25,95,5,1,2,2,11,5.3
26,120,9,9,3,2,12,7.5
27,105,6,9,2,2,13,5.1
28,80,3,1,2,2,7,4.2
29,135,1,1,3,2,14,8.6
30,110,9,9,3,2,9,6.2
31,95,6,9,2,2,15,4.8
32,100,5,1,3,2,3,5.5
32,95,9,1,2,2,3,5.2
33,120,3,6,3,2,9,7.8
34,85,9,1,2,2,16,4.3
35,110,1,9,3,2,3,6.5
23,75,7,3,2,2,10,3.9
29,130,3,7,3,2,14,8.2
22,90,9,1,2,2,9,5.6
36,105,6,5,3,2,15,5.1
28,80,3,9,2,2,7,4.2
24,125,5,6,3,2,3,6.9
18,100,1,9,3,2,3,5.2
37,95,9,1,2,2,17,4.6
38,88,6,5,2,2,14,4.7
39,135,1,9,3,2,18,8.5
35,80,3,9,2,2,3,4.8
17,115,9,1,3,2,6,7.2
14,88,9,1,2,2,3,5.1
31,70,7,3,2,2,15,3.6
27,100,6,1,3,2,13,5.3
30,120,1,9,3,2,9,6.8
19,105,3,1,3,2,7,5.5
20,95,9,1,2,2,3,5.1
22,88,9,1,2,2,9,5.4
36,90,1,9,2,2,15,4.9
18,105,3,9,3,2,3,5.8
29,120,1,9,3,2,14,7.3
24,130,1,9,3,2,3,6.5
37,85,9,1,2,2,17,4.2
38,78,6,5,2,2,14,4.3
39,128,3,9,3,2,18,8.2
35,95,1,9,2,2,3,5.6
17,112,9,1,3,2,6,7.1
14,92,9,1,2,2,3,5.4
31,75,3,7,2,2,15,3.9
27,98,6,1,3,2,13,5.1
30,118,1,9,3,2,9,6.6
28,85,3,9,2,2,7,4.4
20,102,9,1,3,2,3,5.9
40,88,1,9,2,2,15,4.7
18,95,3,9,2,2,3,5.2
22,92,9,1,2,2,9,5.7
19,100,3,1,3,2,7,5.2
20,110,9,1,3,2,3,6.3
34,78,9,1,2,2,16,4.1
35,130,1,9,3,2,3,7.5
23,85,7,3,2,2,10,4.2
29,125,1,9,3,2,14,7.8
24,135,1,9,3,2,3,6.7
37,92,9,1,2,2,17,4.5
38,82,6,5,2,2,14,4.5
39,140,3,9,3,2,18,8.8
35,88,1,9,2,2,3,5.3
17,115,9,1,3,2,6,7.3
14,95,9,1,2,2,3,5.6
31,78,3,7,2,2,15,4.1
27,105,6,1,3,2,13,5.5
30,125,1,9,3,2,9,6.9
28,90,3,9,2,2,7,4.6
20,98,9,1,3,2,3,6.1
40,92,1,9,2,2,15,4.8
5,113,8,8,3,2,1,5.5
13,129,8,8,3,2,1,4
5,96,6,3,3,3,1,4.18
5,72,5,6,2,2,1,2.66
41,146,8,3,3,2,19,3.3
42,116,8,3,3,2,1,3.45
43,97,9,7,3,2,1,4
44,92,7,6,2,1,20,3.2
45,77,10,11,2,2,21,1.69
45,70,8,8,2,2,21,1.02
46,105,8,8,3,2,22,2.45
47,104,6,3,3,2,23,2.5
48,110,9,9,3,2,3,5.1
49,95,5,1,3,2,5,4.6
50,80,6,9,2,2,24,3.2
29,120,3,1,3,2,14,6.2
51,130,9,9,3,2,25,7.8
52,85,1,9,2,2,2,4.2
35,100,9,1,3,2,2,5.8
53,75,5,6,2,2,2,4.1
54,92,3,9,3,2,2,5.3
55,110,1,9,3,2,26,6.2
56,120,3,7,3,2,2,7.5
50,88,9,1,2,2,24,4.3
34,105,3,7,3,2,16,5.5
57,95,1,9,2,2,2,6.1
58,130,9,1,3,2,25,7.8
25,85,6,5,2,2,11,4.8
59,100,9,1,3,2,27,6.4
60,92,3,7,2,2,28,5.2
61,110,5,6,3,2,2,7.2
62,88,9,1,2,2,7,5.6
63,120,6,5,3,2,29,8.1
64,105,1,9,3,2,6,7.4
65,95,9,1,2,2,2,6.3
66,82,3,7,2,2,15,4.5
67,90,5,9,3,2,15,5.1
68,90,3,1,3,2,3,4.5
69,105,6,9,3,2,30,5.8
70,80,5,1,2,2,3,3.9
71,95,7,9,3,2,31,4.2
72,110,1,1,3,2,32,5.1
73,85,9,9,2,2,33,4.3
74,120,3,1,3,2,2,6.2
75,100,5,1,3,2,7,4.8
76,130,6,9,4,3,34,6.5
77,75,1,1,2,2,3,3.6
78,95,5,1,3,2,35,4.5
79,110,3,1,3,2,36,5.8
80,120,9,9,3,2,37,6.2
81,75,1,1,2,2,3,3.2
69,150,6,9,4,3,30,8.3
82,130,5,1,3,2,33,6.9
83,180,3,1,4,3,9,9.6
75,90,7,9,3,2,7,4.8
84,105,9,9,3,2,2,5.3
85,100,1,1,3,2,7,5.1
86,125,3,1,3,2,3,6.7
87,80,5,1,2,2,33,3.8
73,95,6,9,3,2,33,4.5
88,135,9,9,4,3,38,7.2
89,160,3,1,4,3,11,8.9
90,70,5,1,2,2,3,3.1
91,115,6,9,3,2,3,6.1
92,100,1,1,3,2,24,5.2
93,145,9,9,4,3,5,7.8
94,95,3,1,3,2,33,5.1
95,110,9,9,3,2,30,5.7
96,85,5,1,2,2,3,4.2
97,100,7,9,3,2,31,4.5
98,120,1,1,3,2,32,5.8
99,90,9,9,2,2,2,4.1
100,130,3,1,3,2,39,6.3
101,88,5,1,2,2,2,4.3
102,135,3,1,4,3,40,7.5
103,70,9,9,2,2,30,3.2
